group,metric,n_outer_folds,mean,sd,bootstrap_ci_low,bootstrap_ci_high,n_boot
adults,error_auroc,10,0.6432752292113597,0.07036967455329049,0.6020666293544691,0.6856621222970884,2000
adults,error_pr_auc,10,0.9320551236031456,0.022729327914828436,0.9190802012148853,0.9450841178745873,2000
adults,withdrawal_auroc,10,0.3775387527233115,0.09524051771291454,0.3223946623093682,0.4342196623093682,2000
adults,withdrawal_pr_auc,10,0.15373028696751795,0.06194504068004331,0.122331303163626,0.19227245082627,2000
children,error_auroc,10,0.6192942377447208,0.06524191064029906,0.5809528941011127,0.6553633196670032,2000
children,error_pr_auc,10,0.779430843301899,0.04238395819479068,0.755394319551402,0.8039314660718543,2000
children,withdrawal_auroc,10,0.42762565031586774,0.0828567899411921,0.37686719040319583,0.4746443585098477,2000
children,withdrawal_pr_auc,10,0.3688307791512374,0.05207367160311998,0.3383746565670886,0.3991726719348484,2000
teens,error_auroc,10,0.6371835994205324,0.0967384004163082,0.5818825178867767,0.6959811471806899,2000
teens,error_pr_auc,10,0.8219156047663543,0.0661169933169039,0.7857796769017297,0.8635804910926644,2000
teens,withdrawal_auroc,10,0.41530882910193256,0.07241718340893179,0.36800053681950234,0.455178918782367,2000
teens,withdrawal_pr_auc,10,0.295914726465816,0.0344994362725172,0.2750353292730409,0.31461768837422927,2000
