group,model,feature,mean_abs_shap
adults,LR,CSES_TS,0.22684944053618822
adults,LR,HEI_TS,0.6133250394744457
adults,LR,SCL-90 PSY,0.26830214056568497
adults,LR,SSRS_TS,0.03399326770221125
adults,LR,DES-Ⅱ_TS,0.013646704614308178
adults,LR,SCL-90 IS,0.2777390121061
adults,LR,SCL-90 ADD,0.19721010407801523
adults,LR,SCL-90 DEP,0.06897055645336239
adults,LR,SSRS_OS,0.028152791988586737
adults,LR,SCL-90 ANX,0.03783639790314901
adults,RF,CSES_TS,0.042596785163439004
adults,RF,HEI_TS,0.07853416055227452
adults,RF,SCL-90 PSY,0.03696569815621713
adults,RF,SSRS_TS,0.01707032030723059
adults,RF,DES-Ⅱ_TS,0.01751357554829935
adults,RF,SCL-90 IS,0.010905455105132755
adults,RF,SCL-90 ADD,0.024221583071240782
adults,RF,SCL-90 DEP,0.021733678581975724
adults,RF,SSRS_OS,0.014210384711705753
adults,RF,SCL-90 ANX,0.01627706424357555
teens,LR,CSES_TS,0.34679594957868376
teens,LR,HEI_TS,0.25228724296957156
teens,LR,A-DES-Ⅱ_PI,0.3369119106855771
teens,LR,SCL-90 OC,0.2351483689057831
teens,LR,SCL-90 ANX,0.13761511109285865
teens,LR,EMBU-F EW,0.152782276490922
teens,LR,SCL-90 DEP,0.017770907148168494
teens,LR,SCL-90 SOM,0.18285157869584806
teens,LR,SCL-90 TS,0.01202091138936297
teens,LR,SCL-90 GSI,0.012020911389363047
teens,RF,CSES_TS,0.0800691231474636
teens,RF,HEI_TS,0.03638296962721958
teens,RF,A-DES-Ⅱ_PI,0.06025479811317341
teens,RF,SCL-90 OC,0.01384949848104927
teens,RF,SCL-90 ANX,0.02122024091817608
teens,RF,EMBU-F EW,0.036444755014420946
teens,RF,SCL-90 DEP,0.029388138490343364
teens,RF,SCL-90 SOM,0.011167096931933337
teens,RF,SCL-90 TS,0.027084449590117916
teens,RF,SCL-90 GSI,0.02640533830134361
children,LR,CSES_TS,0.3293335950245008
children,LR,HEI_TS,0.4020073390217592
children,LR,A-SSRS_OS,0.1896872719465279
children,LR,EMBU-M PUN,0.1411465177883312
children,LR,A-SSRS_SS,0.048392800438084076
children,LR,A-DES-Ⅱ_PI,0.06594197679734311
children,LR,A-DES-Ⅱ_DPDR,0.013669783103279225
children,LR,EMBU-M REJ,0.014547059078783415
children,LR,EMBU-M EW,0.06822544536279859
children,LR,CSQ_REP,0.13436794664015023
children,RF,CSES_TS,0.07551614037918748
children,RF,HEI_TS,0.0771690564385487
children,RF,A-SSRS_OS,0.04214619834307528
children,RF,EMBU-M PUN,0.03365174302076371
children,RF,A-SSRS_SS,0.012980326883055879
children,RF,A-DES-Ⅱ_PI,0.02042483970118943
children,RF,A-DES-Ⅱ_DPDR,0.029444557170042886
children,RF,EMBU-M REJ,0.009966109928426403
children,RF,EMBU-M EW,0.026519487490779477
children,RF,CSQ_REP,0.019919065000942492
