group,model,metric,top10_minus_full,ci95_low,ci95_high,paired_bootstrap_p,n_participants,n_boot
adults,LR,withdrawal_auroc,0.015801054209584553,0.0027369589995205586,0.030405792869956535,0.016,800,2000
adults,RF,withdrawal_auroc,0.01953672808162854,-0.002548699261830625,0.04465822368821433,0.089,800,2000
adults,SVM,withdrawal_auroc,0.02061269887325301,-0.0069319804787302455,0.04655912622641733,0.115,800,2000
teens,LR,withdrawal_auroc,0.03158310303987355,0.011838215071722492,0.053859411157547714,0.002,217,2000
teens,RF,withdrawal_auroc,0.02319384129490698,0.005875315775201245,0.04250744292980163,0.005,217,2000
teens,SVM,withdrawal_auroc,0.033162258191867466,0.01141389142767521,0.05442335573603307,0.003,217,2000
children,LR,withdrawal_auroc,0.0077330077330077795,-0.0035029280313736756,0.019666308550606016,0.191,180,2000
children,RF,withdrawal_auroc,0.006647673314339908,-0.009563689896141836,0.024959185049552066,0.418,180,2000
children,SVM,withdrawal_auroc,0.008004341337674803,-0.011166205196770817,0.02666786283891552,0.422,180,2000
